event,date,page_url,pdf_url
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/1080.00_l.l.a.cert_25-10-2.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/washington_subdivision_seqr_part_1_10.8.2025.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/washington_st_subdivision_application_.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/tacy_subdivision_rev_10-7-25.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/tacy_seqr_part_2_washington_st_10.8.25.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/site_plan_review_checklist_washington_subdivision.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/site_plan_review_checklist_galway_lot_line_adjustment_0.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/planning_board_minutes_10.8.25_-_draft_amended.pdf
Historic District Commission Meeting,"October 28, 2025 - 5:30pm",https://www.ballstonspa.gov/home/events/19076,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/hdc_agenda_10.28.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 27, 2025 - 6:30pm",https://www.ballstonspa.gov/home/events/19216,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._10.14.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 27, 2025 - 6:30pm",https://www.ballstonspa.gov/home/events/19216,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_10.27.25_fsr.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 27, 2025 - 6:30pm",https://www.ballstonspa.gov/home/events/19216,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/10.27.25_att_fixed.pdf
Park and Tree Meeting,"October 21, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18971,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/park_and_tree_agenda_10.21.25.pdf
Committee on the Arts Meeting,"October 15, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/17606,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/10.15.2025_coa_meeting_agenda.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19461,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_2_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19461,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_1_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19461,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._10.27.25.pdf
